CustomerID,CustomerName,Region,SignupDate,NumTransactions,TotalQuantity,TotalSpent,Cluster
C0001,Lawrence Carroll,South America,2022-07-10,5,12,3354.5200000000004,0
C0002,Elizabeth Lutz,Asia,2022-02-13,4,10,1862.74,0
C0003,Michael Rivera,South America,2024-03-07,4,14,2725.38,0
C0004,Kathleen Rodriguez,South America,2022-10-09,8,23,5354.88,1
C0005,Laura Weber,Asia,2022-08-15,3,7,2034.24,0
C0006,Brittany Palmer,South America,2024-01-07,4,12,4227.57,0
C0007,Paul Graves,Asia,2022-06-18,3,8,2579.8199999999997,0
C0008,David Li,North America,2024-01-13,10,20,4271.61,1
C0009,Joy Clark,Europe,2023-08-14,3,3,896.5,0
C0010,Aaron Cox,Europe,2022-12-15,4,12,1717.5500000000002,0
C0011,Bryan Mathews,South America,2022-12-12,5,13,3730.0,0
C0012,Kevin May,South America,2024-08-07,7,19,5231.259999999999,1
C0013,Lauren Buchanan,South America,2024-05-19,7,18,6000.56,1
C0014,Deborah Wilcox,Europe,2024-06-22,1,2,318.66,0
C0015,Tina Duran,North America,2023-11-20,2,4,1157.48,0
C0016,Emily Woods,North America,2024-01-03,5,10,3874.42,0
C0017,Jennifer King,Europe,2023-12-05,8,21,4753.82,1
C0018,Tyler Haynes,North America,2024-09-21,5,18,4781.85,1
C0019,Brandon Rodriguez,Europe,2023-01-12,6,11,2185.8199999999997,0
C0020,Mr. Manuel Conway,North America,2024-06-11,1,3,922.41,0
C0021,Robert Blanchard,Asia,2023-04-17,8,17,5419.92,1
C0022,Teresa Esparza,Asia,2023-10-27,6,15,4655.07,1
C0023,Nicholas Cain,Europe,2022-03-04,6,14,5158.65,1
C0024,Michele Cooley,North America,2024-02-05,7,14,3627.02,1
C0025,Gregory Odom,South America,2022-07-04,4,8,1589.81,0
C0026,Sara Miller,North America,2024-05-03,4,12,3549.05,0
C0027,Justin Heath,Asia,2022-11-09,4,12,2562.94,0
C0028,Jennifer Pena,Asia,2024-06-29,8,24,6819.57,1
C0029,Erin Manning,North America,2022-04-16,4,10,1785.8700000000001,0
C0030,Mark Brock,North America,2024-01-30,5,13,2549.6800000000003,0
C0031,Tina Miller,South America,2024-04-11,4,10,2005.38,0
C0032,Dustin Campbell,South America,2024-04-17,3,5,673.0,0
C0033,Tyler Holt,North America,2024-08-04,1,2,132.64,0
C0034,Dalton Perez,North America,2023-09-27,6,17,3073.2000000000003,1
C0035,Brianna Richardson,North America,2024-10-01,4,10,2587.61,0
C0036,Brian Aguilar DDS,North America,2024-07-06,3,8,1877.96,0
C0037,Linda Smith,Europe,2023-02-04,5,14,4252.77,1
C0038,Jeffrey Perkins,North America,2022-04-16,5,13,2696.85,0
C0039,Angela Harris,South America,2024-10-13,6,18,4239.6,1
C0040,Michael Harrell,Asia,2022-03-07,3,10,3969.3999999999996,0
C0041,Lindsey Deleon,Europe,2023-12-27,7,23,6149.78,1
C0042,Heather Riley,North America,2023-03-15,3,6,2402.49,0
C0043,Sandy Short MD,Asia,2023-02-05,3,6,1131.3200000000002,0
C0044,Kenneth Alexander,Europe,2024-07-10,3,7,3230.1099999999997,0
C0045,Michael Williams,Asia,2022-02-25,7,23,6021.8,1
C0046,Beth Cardenas,North America,2024-10-23,7,19,5627.83,1
C0047,Samantha Frank,North America,2024-03-22,7,13,2870.54,1
C0048,Matthew Park,South America,2024-11-07,5,12,3850.9399999999996,0
C0049,Jason Yates,North America,2024-09-18,8,17,2315.48,1
C0050,Ryan Davis,North America,2024-03-02,3,8,3068.83,0
C0051,Nicholas Ellis,Europe,2023-12-21,7,16,5699.57,1
C0052,Stanley Aguirre,South America,2024-02-20,4,10,2488.01,0
C0053,Albert Burke,Europe,2022-06-18,6,18,5316.46,1
C0054,Bruce Rhodes,Asia,2024-09-29,8,24,8040.389999999999,1
C0055,Lauren Williams,North America,2024-11-11,5,12,2857.6800000000003,0
C0056,Erika Fernandez,Asia,2024-04-12,5,12,3182.94,0
C0057,Elizabeth Nguyen,Europe,2024-07-27,6,16,4536.4,1
C0058,Zachary Turner,North America,2024-01-28,1,1,396.34,0
C0059,Mrs. Kimberly Wright,North America,2024-04-07,8,21,7073.28,1
C0060,James Murphy,Europe,2022-04-22,1,2,82.36,0
C0061,Brandon Escobar,Europe,2023-03-06,3,6,2138.26,0
